cast_vote_record,precinct,ballot_style,governor_lt_governor_500001343,comptroller_500001345,attorney_general_500001346,u_s_senator_500001386,representative_in_congress_6_500001378,county
116,016-000,016-000,Moore-Miller (10005005.0009160),Barry Glassman (10064064.0000970),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
118,016-000,016-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
119,007-000,007-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
122,005-000,005-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
124,001-000,001-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
126,007-000,007-000,Moore-Miller (10005005.0009160),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
129,016-000,016-000,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
131,016-000,016-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
132,016-000,016-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
134,010-000,010-000,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
137,006-000,006-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
140,007-000,007-000,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
142,009-000,009-000,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
144,014-002,014-002,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
147,001-000,001-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
150,006-000,006-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
152,014-002,014-002,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
154,014-001,014-001,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
155,005-000,005-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
157,005-000,005-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
159,016-000,016-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Anthony G. Brown (10054054.0000860),Chris Chaffee (10043043.0003520),David J. Trone (10213213.0005020),Garrett
162,014-001,014-001,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
163,006-000,006-000,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
164,001-000,001-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
166,006-000,006-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
167,007-000,007-000,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
169,001-000,001-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
171,014-001,014-001,Moore-Miller (10005005.0009160),Barry Glassman (10064064.0000970),undervote,undervote,David J. Trone (10213213.0005020),Garrett
173,006-000,006-000,Moore-Miller (10005005.0009160),Barry Glassman (10064064.0000970),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),Neil C. Parrott (10213213.0002960),Garrett
175,014-001,014-001,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
177,016-000,016-000,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
178,001-000,001-000,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
181,016-000,016-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
184,014-001,014-001,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
186,013-000,013-000,Cox-Schifanelli (10005005.0002760),undervote,undervote,Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
187,001-000,001-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
188,014-001,014-001,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
189,014-001,014-001,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
191,014-002,014-002,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
193,014-001,014-001,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
194,007-000,007-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
196,010-000,010-000,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
198,016-000,016-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
200,001-000,001-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
202,014-002,014-002,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
203,014-001,014-001,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
205,016-000,016-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
208,014-002,014-002,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
209,012-000,012-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
212,006-000,006-000,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
213,010-000,010-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
214,010-000,010-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
216,014-001,014-001,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
218,008-002,008-002,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
220,007-000,007-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
223,014-001,014-001,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
224,014-001,014-001,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020),Garrett
227,016-000,016-000,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
230,014-001,014-001,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960),Garrett
